100,17,6/3/2022,12/12/2022
100,19,5/31/2022,06/27/2023
100,20,8/7/2021,06/20/2023
100,14,7/8/2021,11/07/2023
100,10,8/15/2021,03/11/2023
100,15,7/15/2021,08/20/2023
100,16,7/17/2021,10/01/2023
100,13,7/28/2021,07/15/2022
100,11,8/15/2021,01/10/2023

200,20,2022-06-03,2023/06/27
200,11,2022-06-01,2023/06/01
200,12,2021-07,2023-05
200,16,2021-07,2022-10
200,14,2021-07,2022-07
200,17,2021-08,2022-05
200,18,2021-07,2022-11
200,10,2021-08,2022-10

300,10,02-Jun-2022,Sep-04-2022
300,15,Jun-03-2022,27-Jul-2022
300,11,16-Jul-2021,13-Dec-2022
300,16,07-Aug-2021,Jun-07-2023
300,13,09-Aug-2021,10-Sep-2022
300,14,25-Jul-2021,26-Nov-2022
300,17,Jul-19-2021,28-Dec-2022
300,20,09-Jul-2021,Oct-29-2022
300,19,Aug-09-2021,20-Sep-2023

400,13,2022-06-03 06:46:04,2023-04-24 20:13:33
400,19,2022-06-02 03:12:40,2023-09-29 09:14:51
400,12,2021-08-01 18:05:01,2022-09-14 02:51:07
400,15,2021-07-16 02:20:54,2022-07-08 00:44:46
400,10,2021-07-14 20:10:42,2023-09-24 09:16:15
400,11,2021-07-24 18:24:47,2022-03-19 00:14:46
400,18,2021-08-11 18:33:28,2022-12-14 19:20:59
400,14,2021-08-06 10:56:23,2023-05-16 12:08:34
400,17,2021-08-10 00:37:05,2023-03-07 21:50:27

500,10,2021-08-06T06:08:41Z,2022-12-30T15:52:01Z
500,14,2021-08-01T22:30:38Z,2022-10-15T14:59:14Z
500,13,2021-07-26T21:38:11Z,2022-10-12T19:09:52Z
500,18,2021-07-29T16:45:19Z,2023-12-10T13:18:48Z
500,19,2021-08-01T02:08:34Z,2022-12-05T17:24:39Z
500,15,2021-07-10T16:33:56Z,2023-07-05T16:57:59Z
500,17,2021-07-21T20:38:25Z,2023-06-20T12:54:03Z
500,11,2021-07-26T20:20:23Z,2022-05-02T00:16:50Z
